cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
332,512,796,0,271,273,46.07557521070834,,395.86328125,107.86328125,1,46.07557521070834,46,626.2584050082011,1045.277183930833,0.08695652173913043,0.15217391304347827,5,0.6521739130434783,1.75,0.37796447300922725,616.8906685313744,598.3066463353103,776.3802550381891,0.08695652173913043,626.2584050082011,1045.277183930833,4.006571757452899,5,0.10851736472381487,1.75,discontinuous,discontinuous,0.08695652173913043,True,776.3802550381891
121,397,798,0,279,258,8.782586036240005,,377.25,878.25,1,8.782586036240005,9,752.2131417496323,1056.971862356218,0.3968253968253968,1.0,1,0.0,2.7777777777777777,0.44181444068749043,695.4474140185232,761.9039350324734,776.3802550381891,0.3968253968253968,752.2131417496323,1056.971862356218,3.4851531889841287,1,0.11386167990540054,2.7777777777777777,punctate,punctate,0.3968253968253968,True,776.3802550381891
65,121,799,0,246,279,16.571243773107252,,377.31640625,889.68359375,1,16.571243773107252,17,838.2196652698782,1416.2115348865277,0.5882352941176471,1.0,1,0.0,4.117647058823529,0.3103651568914348,796.569239137536,797.2848844989402,776.3802550381891,0.5882352941176471,838.2196652698782,1416.2115348865277,9.747790454768973,1,0.060345500536468866,4.117647058823529,thick,thick,0.5882352941176471,True,776.3802550381891
202,219,800,0,253,280,30.81036664099936,,389.83203125,781.16796875,1,30.81036664099936,31,747.0720291569642,1548.2088709291388,0.28110599078341014,0.3548387096774194,3,0.29032258064516125,2.772727272727273,0.4474539037362682,704.6408584479061,750.3065966296349,776.3802550381891,0.28110599078341014,747.0720291569642,1548.2088709291388,8.660978641018254,3,0.09736982473969978,2.772727272727273,discontinuous,discontinuous,0.28110599078341014,True,776.3802550381891
197,219,801,0,248,280,12.877770595078601,,380.25,775.25,1,12.877770595078601,13,739.5034794818164,1370.069602983438,0.37362637362637363,1.0,1,0.0,2.6153846153846154,0.6280634265900771,791.2098875359457,648.5271054639602,776.3802550381891,0.37362637362637363,739.5034794818164,1370.069602983438,4.811474727831565,1,0.0776531925783926,2.6153846153846154,punctate,punctate,0.37362637362637363,True,776.3802550381891
57,468,802,0,263,281,34.53392613518883,,381.28515625,951.28515625,1,34.53392613518883,35,703.3669752190987,1740.4312538674753,0.2857142857142857,0.5142857142857142,2,0.4571428571428572,3.6842105263157894,0.330120571665467,662.0051139851937,678.8155612542635,776.3802550381891,0.2857142857142857,703.3669752190987,1740.4312538674753,9.86683603862538,2,0.05791406375778606,3.6842105263157894,punctate,punctate,0.2857142857142857,True,776.3802550381891
308,367,803,0,264,282,44.05729654800621,,386.609375,580.609375,1,44.05729654800621,44,662.1103300024577,1223.351377599648,0.2305194805194805,0.25,5,0.5227272727272727,3.380952380952381,0.4870877877687489,660.0449605263127,633.5924304478721,776.3802550381891,0.2305194805194805,662.1103300024577,1223.351377599648,10.156065113339093,5,0.11348857945815725,3.380952380952381,discontinuous,discontinuous,0.2305194805194805,True,776.3802550381891
397,480,804,0,258,283,46.43322600429868,,386.3125,854.3125,1,46.43322600429868,46,689.8249356438746,1076.6738252029006,0.16149068322981366,0.17391304347826086,7,0.3913043478260869,1.8571428571428572,0.588348405414552,665.1868800387244,678.010796161752,776.3802550381891,0.16149068322981366,689.8249356438746,1076.6738252029006,7.498533391998545,7,0.15075411730711874,1.8571428571428572,reticular,reticular,0.16149068322981366,True,776.3802550381891
468,644,805,0,281,274,42.46823478587087,,389.25,983.75,1,42.46823478587087,42,673.4276192455344,1125.1609107754207,0.20408163265306123,0.38095238095238093,3,0.3571428571428571,2.2222222222222223,0.5787918451395112,632.847310253044,668.217652444853,776.3802550381891,0.20408163265306123,673.4276192455344,1125.1609107754207,8.666986690994054,3,0.07064103358960652,2.2222222222222223,discontinuous,discontinuous,0.20408163265306123,True,776.3802550381891
44,367,806,0,243,282,25.70636598217243,,389.64453125,564.64453125,1,25.70636598217243,26,773.8543346264393,1573.4046042842203,0.4065934065934066,0.6538461538461539,2,0.038461538461538436,2.96,0.4530555301146002,742.1264744468015,718.9988528121975,776.3802550381891,0.4065934065934066,773.8543346264393,1573.4046042842203,10.45203891582835,2,0.07780173990314368,2.96,thick,thick,0.4065934065934066,True,776.3802550381891
46,464,807,0,284,238,22.18659416448578,,384.86328125,188.13671875,1,22.18659416448578,22,706.7092176505877,1289.5028213979213,0.2077922077922078,0.2727272727272727,4,0.31818181818181823,2.1333333333333333,0.6139650845121406,674.8258869805472,704.0996281836273,776.3802550381891,0.2077922077922078,706.7092176505877,1289.5028213979213,4.610201384828214,4,0.18028905069182835,2.1333333333333333,discontinuous,discontinuous,0.2077922077922078,True,776.3802550381891
401,688,808,0,249,285,20.01803361387603,,385.5,531.5,1,20.01803361387603,20,859.7161103757088,1334.6411897169808,0.5928571428571429,0.65,2,0.15000000000000002,4.882352941176471,0.29708019291416754,777.9246468967438,912.8438214673577,776.3802550381891,0.5928571428571429,859.7161103757088,1334.6411897169808,11.86783421394079,2,0.09990991316018406,4.882352941176471,thick,thick,0.5928571428571429,True,776.3802550381891
44,688,809,0,243,285,36.40165397903121,,394.27734375,543.72265625,1,36.40165397903121,36,723.5029868674573,1353.21037496532,0.2857142857142857,0.5,2,0.2222222222222222,2.5714285714285716,0.5826715823167509,693.281201201331,696.1485892839963,776.3802550381891,0.2857142857142857,723.5029868674573,1353.21037496532,10.400472565437488,2,0.054942558411001846,2.5714285714285716,punctate,punctate,0.2857142857142857,True,776.3802550381891
210,310,810,0,261,286,23.995074977865766,,386.71875,909.28125,1,23.995074977865766,24,645.5543776835277,979.8295561002074,0.16666666666666666,0.5416666666666666,3,0.25,1.5555555555555556,0.31943828249996997,612.671882906183,630.3671088529054,776.3802550381891,0.16666666666666666,645.5543776835277,979.8295561002074,3.9991791629776277,3,0.12502565642188437,1.5555555555555556,discontinuous,discontinuous,0.16666666666666666,True,776.3802550381891
