face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
148,265,2270.0126190185547,2271,193.94686830030227,6,6,6,0,0,False,265.79162411736166,227.82533020988149,,
149,364,1342.6850128173828,1344,150.78712643924166,5,5,5,0,0,False,268.9731437076595,278.3493730531152,,
150,563,1962.3904571533203,1963,178.27433915339714,6,6,6,0,0,False,272.7565334744578,870.9011202784903,,
151,141,925.7002716064453,926,131.56924791785661,4,4,4,0,0,False,260.5173345132947,396.6125854127119,,
152,343,1509.4129180908203,1510,159.44520052594498,6,6,6,0,0,False,265.8110974301005,939.2398849065352,,
153,19,2164.0140533447266,2165,179.92011054575642,6,6,6,0,0,False,272.6032751133322,620.7567328547985,,
154,252,916.7599792480469,918,119.29530516746641,5,5,5,0,0,False,261.9051750013354,975.2121671321812,,
155,160,4500.932464599609,4498,406.56086439801766,10,9,9,0,0,True,322.52610004413657,970.9059031072217,,
156,58,1651.3831939697266,1650,175.76016005318223,7,7,7,0,0,False,281.3421313428442,59.775605341307894,,
157,247,1269.8857116699219,1271,148.53953469298295,6,6,6,0,0,False,272.25707659015524,721.4793654952732,,
158,457,1544.11767578125,1545,154.46458844358733,5,5,5,0,0,False,277.07624213523434,553.6213510493034,,
159,71,1701.5140838623047,1702,198.01888854477724,4,4,4,0,0,False,283.1307650161636,193.80150440253692,,
160,595,1734.675521850586,1733,224.67478474967606,7,7,7,0,0,False,276.56826160715366,763.0029276160459,,
161,240,1288.003173828125,1288,162.3484875306471,7,7,7,0,0,False,279.2665096523488,835.5004494724128,,
162,536,1197.9926147460938,1198,146.25337851952352,6,6,6,0,0,False,279.8241377090087,349.4928037246111,,
163,24,2010.600570678711,2010,230.5033772779346,7,7,7,0,0,False,291.31757572400505,662.7081716177603,,
164,495,1618.273452758789,1619,163.4330592598568,5,5,5,0,0,False,290.4610837260396,904.4572475994659,,
165,278,1837.0786437988281,1835,204.0894723973136,9,9,9,0,0,False,298.096793027261,310.84223375639607,,
166,597,1428.107894897461,1428,159.23938467205562,5,5,5,0,0,False,288.3895123101819,390.32729793153413,,
167,142,1684.898178100586,1686,177.7303469900088,6,6,6,0,0,False,299.77221288938125,470.3304957951566,,
168,560,926.8046875,929,122.9957599072063,4,4,4,0,0,False,285.4491271011407,126.82773296788817,,
169,391,7016.781753540039,7013,414.11338595769496,12,12,12,0,0,False,347.36192305966773,520.979853198278,,
170,605,759.15771484375,760,174.84476878478122,4,3,3,0,0,True,311.8970856628333,1017.9278057111773,,
171,301,1356.7606048583984,1357,148.37853307810425,4,4,4,0,0,False,297.11345012232715,693.0010924854305,,
172,451,1063.1729431152344,1063,134.10143938269107,4,3,3,0,0,True,291.92593529855174,21.45293940656535,,
173,326,951.4127960205078,953,130.00189001412076,4,4,4,0,0,False,288.5105413865703,803.2101394198895,,
174,209,4240.276428222656,4235,417.5376897367541,11,11,11,0,0,False,305.13002214921624,206.91422477550685,,
175,107,542.3560943603516,544,93.6149510830545,3,3,3,0,0,False,293.66364169608295,443.0695807126135,,
176,572,1841.4246368408203,1843,211.13895148763467,3,3,3,0,0,False,323.1067579955891,994.8952461367234,,
177,428,1928.663818359375,1930,187.06866548619382,6,6,6,0,0,False,306.3089337627156,939.7595450230216,,
178,189,824.44873046875,826,119.64880993209279,4,4,4,0,0,False,303.57093212564354,768.0011526265802,,
179,262,3238.4683990478516,3236,278.96427016752284,9,9,9,0,0,False,321.53604131888085,868.9703782745191,,
180,533,2358.5027465820312,2359,227.34320557645285,5,4,4,0,0,True,329.7407121085568,20.388756808617796,,
181,323,2369.1583251953125,2368,318.6297321048877,10,10,10,0,0,False,339.94289854226565,89.14668843233515,,
182,23,2389.2545318603516,2389,199.89890718059434,5,5,5,0,0,False,316.4838153197712,606.6153029177916,,
183,83,4373.079116821289,4371,392.35936462374696,10,10,10,0,0,False,338.92087638545144,366.69589878117415,,
184,201,2334.0308837890625,2332,247.6706726571499,8,8,8,0,0,False,323.62470808368795,743.7371448015606,,
185,518,1348.619857788086,1348,148.9326118003595,8,8,8,0,0,False,319.83276303736494,433.80766587192784,,
186,316,2382.2438354492188,2382,243.1560569522482,6,6,6,0,0,False,331.7546064965948,565.7432398784616,,
187,126,1366.3076629638672,1365,168.62599120257732,7,7,7,0,0,False,318.07468564457184,807.6063169481013,,
188,357,2114.6709899902344,2116,210.19690227968042,5,5,5,0,0,False,331.0295118182017,62.32227075417402,,
189,332,678.0410614013672,679,114.38121153215224,5,5,5,0,0,False,324.31459492712946,341.55958191136983,,
190,331,1869.8503112792969,1870,212.76630663435515,7,7,7,0,0,False,332.05081283424585,676.5097096208801,,
191,367,1681.3123626708984,1684,181.78208695307507,4,4,4,0,0,False,325.52207581376007,256.3558799809975,,
192,57,1340.0298461914062,1342,169.1703860607733,4,4,4,0,0,False,341.50207928845356,116.00482275560451,,
193,517,966.8665313720703,968,140.3347560742019,4,4,4,0,0,False,330.0009904661957,313.19299863041306,,
194,509,3511.124069213867,3511,274.9728569642706,7,7,7,0,0,False,348.40167738418,199.8002451977376,,
195,388,1676.5221862792969,1677,173.49998587949452,5,5,5,0,0,False,348.64485241046077,699.8932747415088,,
196,618,1954.3403778076172,1954,193.14364490037792,6,6,6,0,0,False,349.8015775406935,150.69893793104296,,
197,494,1711.8820190429688,1713,164.15262467971564,4,4,4,0,0,False,343.8256107503745,472.91973333353667,,
198,436,1757.0544128417969,1756,212.26231832830138,7,7,7,0,0,False,350.40521464915395,616.9873035122303,,
199,406,1773.82421875,1774,229.46606237912124,7,7,7,0,0,False,351.0420518966519,753.7195166181141,,
200,72,2006.3704681396484,2007,198.2690082010717,6,6,6,0,0,False,356.30198181232123,806.5622231023946,,
201,88,1238.7767486572266,1241,148.16069798852982,5,5,5,0,0,False,345.54929026927545,402.4107078373155,,
202,515,1741.7669525146484,1741,205.41442094950244,7,7,7,0,0,False,354.1388642703788,264.43125843743513,,
