wt_id,well_id,plate,well,condition,treatment,date,week,ter_ohm,grid_r,grid_c,file,source,cell_radius_px,n_raw_masks,n_cells,cell_density_per_kpx,cell_area_px,cell_area_cv,gap_area_frac,n_gaps,n_edges,edges_per_cell,edge_length_px,G_eff,permeability_index,gap_fraction,G_eff_len,permeability_index_len,in_plane_G,in_plane_G_len,tissue_frac
LORD-4_C1_2017-03-09,LORD-4_C1,LORD-4,C1,Control,C,2017-03-09,6,131.0,1,1,LORD-4_C1_2017-03-09_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.291425312283248,1426,1426.0,0.9878630015517624,575.8355917482523,0.2794966418726002,0.4311533239352362,54.0,2936.0,2.05890603085554,15.935086963866686,3476.0,0.0042331312838503,0.1553509781357882,3475.447573328198,0.0042324585293548,0.5201478048062204,0.4961781983755576,0.5688466760647638
LORD-4_C1_2017-03-09,LORD-4_C1,LORD-4,C1,Control,C,2017-03-09,6,131.0,2,1,LORD-4_C1_2017-03-09_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.074112164146964,1402,1402.0,0.971236976280204,558.6125694851733,0.2804558579784909,0.457454817101105,51.0,2828.0,2.017118402282453,15.5832796651467,3338.0,0.0042621390581648,0.1527860994607549,3309.8815438660804,0.004226235891555,0.6573492539869662,0.709859458991303,0.542545182898895
LORD-4_C1_2017-03-16,LORD-4_C1,LORD-4,C1,Control,C,2017-03-16,7,179.0,1,1,LORD-4_C1_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.446189622059965,1775,1775.0,1.2296331190423408,596.168906817369,0.300963919676589,0.2669309676340957,98.0,4236.0,2.3864788732394366,16.006198579839186,5216.0,0.0049291258160096,0.187883435582822,5154.750691684876,0.0048712451513569,5.768805890934538,5.479039727997019,0.7330690323659043
LORD-4_C1_2017-03-16,LORD-4_C1,LORD-4,C1,Control,C,2017-03-16,7,179.0,2,1,LORD-4_C1_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.098436114783444,1971,1971.0,1.3654123254267347,565.5594778617344,0.2934866745215905,0.2277781181656794,98.0,4880.0,2.4759005580923388,15.51763322958721,5860.0,0.0052569362070254,0.167235494880546,5825.1251276339535,0.0052256503743878,5.034802933811911,4.8404978770010025,0.7722218818343206
LORD-4_C4_2017-02-16,LORD-4_C4,LORD-4,C4,Control,C,2017-02-16,3,132.0,1,1,LORD-4_C4_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.64592552440169,1012,1012.0,0.7010640656173798,606.7729195606096,0.2795763422223191,0.5746133101063118,22.0,1843.0,1.8211462450592888,16.420200406387,2063.0,0.0033596383155716,0.1066408143480368,2064.211489650713,0.0033616112516111,0.3863650003526356,0.3452870218144106,0.4253866898936883
LORD-4_C4_2017-02-16,LORD-4_C4,LORD-4,C4,Control,C,2017-02-16,3,132.0,2,1,LORD-4_C4_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.58748446131949,1194,1194.0,0.827144757260031,603.3357453210469,0.2928112683454981,0.5009540013901227,33.0,2289.0,1.9170854271356783,16.222740645497904,2619.0,0.0036355666868639,0.1260022909507445,2615.6392264032684,0.0036309014266385,4.95634790647693,5.354881657368486,0.4990459986098773
LORD-4_C4_2017-03-02,LORD-4_C4,LORD-4,C4,Control,C,2017-03-02,5,117.0,1,1,LORD-4_C4_2017-03-02_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.297411092956994,1322,1322.0,0.915816892041676,584.4479767399729,0.3083758658308119,0.4647526703819523,41.0,2732.0,2.066565809379728,16.00994889167201,3142.0,0.0040665757454996,0.1304901336728198,3103.172081761747,0.0040163221902622,5.495365760568119,5.204420315568806,0.5352473296180477
LORD-4_C4_2017-03-02,LORD-4_C4,LORD-4,C4,Control,C,2017-03-02,5,117.0,2,1,LORD-4_C4_2017-03-02_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.159049284959082,702,702.0,0.4863112391930835,565.7946511945154,0.2723370347339385,0.7248477020487767,8.0,1141.0,1.6253561253561253,16.010550041584953,1221.0,0.003074112198912,0.0655200655200655,1204.2897426830182,0.0030320407772371,4.67847982577041e-13,4.649058915617843e-13,0.2751522979512232
LORD-4_C4_2017-03-23,LORD-4_C4,LORD-4,C4,Control,C,2017-03-23,8,335.0,1,1,LORD-4_C4_2017-03-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.183216521636506,2230,2230.0,1.544834848148969,575.575620156874,0.3121368960431848,0.1108307242367067,98.0,5995.0,2.688340807174888,15.524708051708393,6975.0,0.0054342167754264,0.1405017921146953,6917.20269434681,0.0053891869420278,3.4899063677403364,3.345444010803793,0.8891692757632933
LORD-4_C4_2017-03-23,LORD-4_C4,LORD-4,C4,Control,C,2017-03-23,8,335.0,2,1,LORD-4_C4_2017-03-23_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.988619621707652,2099,2099.0,1.4540844602083796,553.8993065094822,0.2844030473063206,0.1945836258843637,95.0,5331.0,2.539780848022868,15.36787180881071,6281.0,0.0054023850316615,0.1512498009871039,6222.42499488961,0.0053520037658061,3.9708319580714537,3.6985554947586823,0.8054163741156363
LORD-5_B2_2017-02-16,LORD-5_B2,LORD-5,B2,Control,C,2017-02-16,3,264.0,1,1,LORD-5_B2_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.528790949515026,1201,1201.0,0.8319940146309023,604.3581864407021,0.306254755922523,0.497177606188149,44.0,2328.0,1.938384679433805,16.254870679173546,2768.0,0.0038135431879165,0.1589595375722543,2791.611971087651,0.0038460739940923,0.3588402416001475,0.3519076968466591,0.502822393811851
LORD-5_B2_2017-02-16,LORD-5_B2,LORD-5,B2,Control,C,2017-02-16,3,264.0,2,1,LORD-5_B2_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.58748446131949,1324,1324.0,0.9172023941476392,618.6616736927782,0.3441836086059432,0.4325620317215983,64.0,2779.0,2.0989425981873118,16.349348930231592,3419.0,0.0041740524648537,0.1871892366188944,3457.773230891439,0.0042213883817806,2.9797019337690225,2.82816154718839,0.5674379682784016
LORD-5_B2_2017-02-23,LORD-5_B2,LORD-5,B2,Control,C,2017-02-23,4,397.0,1,1,LORD-5_B2_2017-02-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.882962078903956,1278,1278.0,0.8853358457104855,633.653436305564,0.2995660993157497,0.4390038990810583,57.0,2681.0,2.0978090766823163,16.61247226385576,3251.0,0.0040145264281767,0.1753306674869271,3185.521844842636,0.0039336701426191,11.041477342022825,10.837397341068176,0.5609961009189417
LORD-5_B2_2017-02-23,LORD-5_B2,LORD-5,B2,Control,C,2017-02-23,4,397.0,2,1,LORD-5_B2_2017-02-23_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.231418571003069,1056,1056.0,0.7315451119485702,577.1402816772461,0.2836694612260538,0.5777958480303897,20.0,1943.0,1.839962121212121,15.930170869926837,2143.0,0.0035162266870516,0.0933271115258982,2105.8566552256725,0.0034552820206299,0.2473791973553394,0.2381695081928465,0.4222041519696103
LORD-5_B2_2017-03-09,LORD-5_B2,LORD-5,B2,Control,C,2017-03-09,6,700.0,1,1,LORD-5_B2_2017-03-09_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.243441670776848,1616,1616.0,1.1194857016182664,582.0824055813326,0.302342863752198,0.3483670697881335,70.0,3710.0,2.2957920792079207,15.769741721575468,4410.0,0.0046882715743901,0.1587301587301587,4393.121746679375,0.0046703283010866,7.7686934488503265,7.537420823197889,0.6516329302118665
LORD-5_B2_2017-03-09,LORD-5_B2,LORD-5,B2,Control,C,2017-03-09,6,700.0,2,1,LORD-5_B2_2017-03-09_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.339236349084567,1773,1773.0,1.228247616936378,583.0853579155954,0.306326000154654,0.2838267986696751,89.0,4189.0,2.362662154540327,15.772297997024893,5079.0,0.0049128934056144,0.1752313447529041,5038.213479737284,0.0048734407916281,6.058544963847253,5.748134464072711,0.7161732013303249
LORD-5_C2_2017-02-16,LORD-5_C2,LORD-5,C2,Control,C,2017-02-16,3,249.0,1,1,LORD-5_C2_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.957279475043832,1175,1175.0,0.8139824872533806,639.9846896427235,0.2878997080755388,0.479063670520533,35.0,2274.0,1.9353191489361703,16.77511312420884,2624.0,0.0034894451781469,0.1333841463414634,2586.3054784539154,0.0034393182854444,1.2868025196606228,1.1781980213885517,0.520936329479467
LORD-5_C2_2017-02-16,LORD-5_C2,LORD-5,C2,Control,C,2017-02-16,3,249.0,2,1,LORD-5_C2_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.73891416768399,1040,1040.0,0.7204610951008645,625.1697434205275,0.305263632969875,0.5495895220313203,30.0,1911.0,1.8375,16.545678076856827,2211.0,0.003400614890333,0.1356852103120759,2204.736968849283,0.003390982073965,0.3346071852339222,0.2994487839458816,0.4504104779686798
LORD-5_C2_2017-03-16,LORD-5_C2,LORD-5,C2,Control,C,2017-03-16,7,253.0,1,1,LORD-5_C2_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.704117368456696,1843,1843.0,1.2767401906450897,619.3632066284775,0.3020248551999026,0.2092341014906034,96.0,4623.0,2.508410200759631,16.210718656188163,5583.0,0.0048909912985458,0.1719505642127888,5572.177843038355,0.004881510539898,4.859066418219708,4.775599970303684,0.7907658985093966
LORD-5_C2_2017-03-16,LORD-5_C2,LORD-5,C2,Control,C,2017-03-16,7,253.0,2,1,LORD-5_C2_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.517021664164629,1803,1803.0,1.2490301485258255,602.3346084789375,0.2953450460694727,0.2476659145093075,106.0,4345.0,2.4098724348308376,16.02179528489716,5405.0,0.004976937126175,0.1961147086031452,5340.284154650014,0.0049173466186127,5.892269146084944,5.62986117047466,0.7523340854906925
LORD-6_B1_2017-02-16,LORD-6_B1,LORD-6,B1,Control,C,2017-02-16,3,242.0,1,1,LORD-6_B1_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.988619621707652,651,651.0,0.450980935491022,554.3531016453803,0.2907430229765352,0.7499973196276168,4.0,849.0,1.304147465437788,16.280187628103693,889.0,0.0024633963331245,0.0449943757030371,882.1143527440419,0.0024443163801419,4.890532423473816e-13,4.903855099769316e-13,0.2500026803723832
LORD-6_B1_2017-02-16,LORD-6_B1,LORD-6,B1,Control,C,2017-02-16,3,242.0,2,1,LORD-6_B1_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.398760233979036,854,854.0,0.5916093992462869,583.3100267182468,0.2801220970259421,0.6549083055188825,23.0,1355.0,1.5866510538641687,16.266752146771285,1585.0,0.0031817932350612,0.1451104100946372,1562.3607093349092,0.0031363462054809,2.1084245460656348e-12,2.1743995493039847e-12,0.3450916944811175
LORD-6_B1_2017-03-16,LORD-6_B1,LORD-6,B1,Control,C,2017-03-16,7,254.0,1,1,LORD-6_B1_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.85312533702941,2068,2068.0,1.43260917756595,542.7681141969545,0.2816905310528683,0.2224254183112795,99.0,5181.0,2.50531914893617,15.217228254919196,6171.0,0.0054978221364504,0.160427807486631,6102.787765159114,0.0054370509916303,4.77923135515578,4.54061173541651,0.7775745816887205
LORD-6_B1_2017-03-16,LORD-6_B1,LORD-6,B1,Control,C,2017-03-16,7,254.0,2,1,LORD-6_B1_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.902560616952067,1990,1990.0,1.378574595433385,549.5339582740362,0.2776589338892219,0.2424264457954638,97.0,4831.0,2.4276381909547737,15.30993060971497,5801.0,0.0053046319212738,0.1672125495604206,5729.01832591219,0.0052388094275463,5.8454015103098,5.566678975818892,0.7575735542045362
LORD-6_B1_2017-03-23,LORD-6_B1,LORD-6,B1,Control,C,2017-03-23,8,398.0,1,1,LORD-6_B1_2017-03-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.640868754332628,2311,2311.0,1.6009476834404788,532.8203506370686,0.3050309703374106,0.1469824939576413,92.0,6122.0,2.649069666810904,14.96768246067213,7042.0,0.005718936458561,0.1306447032093155,7000.349741684697,0.0056851115251915,3.1673214949128687,3.0189236294097133,0.8530175060423587
