frame,kind,participants,dV,dE,dF,evidence,run
8,t1,"{""lost"": [32, 42], ""gained"": [40, 48], ""cells"": [32, 40, 42, 48]}",0.0,0.0,0.0,"{""side_change"": {""32"": -1, ""42"": -1, ""40"": 1, ""48"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
8,t1,"{""lost"": [51, 101], ""gained"": [17, 92], ""cells"": [17, 51, 92, 101]}",0.0,0.0,0.0,"{""side_change"": {""51"": -1, ""101"": -1, ""17"": 1, ""92"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
8,t1,"{""lost"": [65, 84], ""gained"": [76, 86], ""cells"": [65, 76, 84, 86]}",0.0,0.0,0.0,"{""side_change"": {""65"": -2, ""84"": -1, ""76"": 0, ""86"": 1}, ""charge_delta"": 2, ""generic"": false, ""isolated"": false}",gt_ids
8,contact_birth,"{""cells"": [30, 162]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
8,contact_birth,"{""cells"": [73, 2236]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
8,contact_birth,"{""cells"": [109, 145]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
9,division,"{""parent"": 37, ""children"": [67, 111]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,division,"{""parent"": 108, ""children"": [93, 2797]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,division,"{""parent"": 169, ""children"": [2862, 2887]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,division,"{""parent"": 192, ""children"": [20, 2895]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,division,"{""parent"": 709, ""children"": [70, 2873]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,division,"{""parent"": 2565, ""children"": [107, 110]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
9,extrusion,"{""cell"": 3, ""sides"": 3, ""neighbours"": [0, 1, 29]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
9,extrusion,"{""cell"": 984, ""sides"": 3, ""neighbours"": [172, 182, 980]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
9,extrusion,"{""cell"": 1028, ""sides"": 3, ""neighbours"": [189, 197, 1026]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
9,extrusion,"{""cell"": 2443, ""sides"": 3, ""neighbours"": [5, 34, 36]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
9,rupture,"{""gap"": -8, ""cells"": [176, 1522], ""caps"": [168, 1526]}",2.0,3.0,1.0,{},gt_ids
9,gap_nucleation,"{""gap"": -7, ""cells"": [176, 207, 1026], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
9,gap_nucleation,"{""gap"": -6, ""cells"": [197, 207, 213], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
9,rupture,"{""gap"": -5, ""cells"": [207, 213], ""caps"": []}",2.0,3.0,1.0,{},gt_ids
9,gap_nucleation,"{""gap"": -4, ""cells"": [207, 213, 227], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
9,gap_nucleation,"{""gap"": -3, ""cells"": [54, 204, 2661], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
9,gap_disappearance,"{""gap"": -2, ""cells"": [37, 109, 145]}",,,,{},gt_ids
9,reseal,"{""gap"": -1, ""cells"": [85, 145], ""caps"": [73, 74]}",-2.0,-3.0,-1.0,{},gt_ids
9,t1,"{""lost"": [40, 48], ""gained"": [32, 42], ""cells"": [32, 40, 42, 48]}",0.0,0.0,0.0,"{""side_change"": {""40"": -1, ""48"": -1, ""32"": 1, ""42"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
9,t1,"{""lost"": [91, 137], ""gained"": [82, 122], ""cells"": [82, 91, 122, 137]}",0.0,0.0,0.0,"{""side_change"": {""91"": -1, ""137"": -1, ""82"": 1, ""122"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": false}",gt_ids
9,t1,"{""lost"": [101, 2031], ""gained"": [16, 113], ""cells"": [16, 101, 113, 2031]}",0.0,0.0,0.0,"{""side_change"": {""101"": -1, ""2031"": -1, ""16"": 1, ""113"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
