image_id,condition,replicate,statistic,mean,ci_lo,ci_hi,n_hypotheses_total,ess
EGM2_regular_6dyn-27,6dyne,rep 1,area_degree_spearman,0.756720276676,0.750419452434,0.770861415841,30,4
EGM2_regular_6dyn-27,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.0335051708074,-0.10375192401,0.337138822497,30,4
EGM2_regular_6dyn-28,6dyne,rep 1,reticular_fraction,0.204799879552,0.203007518797,0.205513784461,28,4
EGM2_regular_6dyn-28,6dyne,rep 1,area_degree_spearman,0.783378727581,0.771783006469,0.788850559677,28,4
EGM2_regular_6dyn-28,6dyne,rep 1,all_reticular_3clique_enrichment_z,1.2851525692,1.24669371162,1.41621477825,28,4
EGM2_regular_6dyn-29,6dyne,rep 1,reticular_fraction,0.271949372676,0.266666666667,0.274336283186,32,4
EGM2_regular_6dyn-29,6dyne,rep 1,area_degree_spearman,0.804704539343,0.799135885714,0.813360189445,32,4
EGM2_regular_6dyn-29,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.272374221751,-0.657654294995,-0.156949341325,32,4
EGM2_regular_6dyn-30,6dyne,rep 1,reticular_fraction,0.302241150061,0.299539170507,0.304651162791,24,4
EGM2_regular_6dyn-30,6dyne,rep 1,area_degree_spearman,0.633595814076,0.615713752044,0.653796126484,24,4
EGM2_regular_6dyn-30,6dyne,rep 1,all_reticular_3clique_enrichment_z,-1.04638491282,-1.10370478872,-0.971713468484,24,4
EGM2_regular_6dyn-71,6dyne,rep 2,reticular_fraction,0.132346234599,0.131578947368,0.133771929825,28,4
EGM2_regular_6dyn-71,6dyne,rep 2,area_degree_spearman,0.69434585683,0.689611766753,0.699941706696,28,4
EGM2_regular_6dyn-71,6dyne,rep 2,all_reticular_3clique_enrichment_z,-0.8440229571,-0.861694230504,-0.834380962713,28,4
EGM2_regular_6dyn-72,6dyne,rep 2,reticular_fraction,0.191484878191,0.190045248869,0.192660550459,32,4
EGM2_regular_6dyn-72,6dyne,rep 2,area_degree_spearman,0.7288657965,0.721331677668,0.735028082404,32,4
EGM2_regular_6dyn-72,6dyne,rep 2,all_reticular_3clique_enrichment_z,0.723367092738,0.684532993378,0.811564028607,32,4
EGM2_regular_6dyn-73,6dyne,rep 2,reticular_fraction,0.173465913958,0.172602739726,0.174033149171,32,4
EGM2_regular_6dyn-73,6dyne,rep 2,area_degree_spearman,0.806402547004,0.801772531205,0.808770283198,32,4
EGM2_regular_6dyn-73,6dyne,rep 2,all_reticular_3clique_enrichment_z,-0.205871573681,-0.224054615879,-0.179978392488,32,4
EGM2_regular_6dyn-74,6dyne,rep 2,reticular_fraction,0.130494649811,0.130434782609,0.130750605327,32,4
EGM2_regular_6dyn-74,6dyne,rep 2,area_degree_spearman,0.756229919554,0.749054108694,0.759324408052,32,4
EGM2_regular_6dyn-74,6dyne,rep 2,all_reticular_3clique_enrichment_z,3.10898134364,3.05281448802,3.17249799964,32,4
EGM2_regular_6dyn-75,6dyne,rep 2,reticular_fraction,0.142280713001,0.14161849711,0.142857142857,32,4
EGM2_regular_6dyn-75,6dyne,rep 2,area_degree_spearman,0.808488394144,0.803210102181,0.811517993193,32,4
EGM2_regular_6dyn-75,6dyne,rep 2,all_reticular_3clique_enrichment_z,0.474134689652,0.436325692038,0.519836494563,32,4
EGM2_regular_6dyn-76,6dyne,rep 2,reticular_fraction,0.166244065308,0.164383561644,0.167597765363,32,4
EGM2_regular_6dyn-76,6dyne,rep 2,area_degree_spearman,0.737487077428,0.729340198684,0.748857848622,32,4
EGM2_regular_6dyn-76,6dyne,rep 2,all_reticular_3clique_enrichment_z,-1.07814032717,-1.08930278229,-1.04636929566,32,4
EGM2_regular_6dyn-77,6dyne,rep 2,reticular_fraction,0.211712924567,0.211699164345,0.211699164345,32,4
EGM2_regular_6dyn-77,6dyne,rep 2,area_degree_spearman,0.798541564206,0.797320362244,0.802656201367,32,4
EGM2_regular_6dyn-77,6dyne,rep 2,all_reticular_3clique_enrichment_z,-0.164857022896,-0.190519867601,-0.143258663286,32,4
EGM2_regular_6dyn-78,6dyne,rep 2,reticular_fraction,0.185756364309,0.184782608696,0.186813186813,32,4
EGM2_regular_6dyn-78,6dyne,rep 2,area_degree_spearman,0.614745682015,0.604744273561,0.628640169077,32,4
EGM2_regular_6dyn-78,6dyne,rep 2,all_reticular_3clique_enrichment_z,0.246932440938,0.198090792378,0.270944950476,32,4
EGM2_regular_6dyn-79,6dyne,rep 2,reticular_fraction,0.170080483779,0.167630057803,0.172514619883,32,4
EGM2_regular_6dyn-79,6dyne,rep 2,area_degree_spearman,0.735286589664,0.732469076012,0.744309101063,32,4
EGM2_regular_6dyn-79,6dyne,rep 2,all_reticular_3clique_enrichment_z,-1.10759219249,-1.12505619912,-1.07367620159,32,4
EGM2_regular_6dyn-80,6dyne,rep 2,reticular_fraction,0.197262335559,0.196675900277,0.19944598338,32,4
EGM2_regular_6dyn-80,6dyne,rep 2,area_degree_spearman,0.782941262913,0.769510699027,0.787544155824,32,4
EGM2_regular_6dyn-80,6dyne,rep 2,all_reticular_3clique_enrichment_z,0.00830843585604,-0.0264718929441,0.0581596241766,32,4
EGM2_regular_6dyn-81,6dyne,rep 3,reticular_fraction,0.177057320662,0.176991150442,0.177514792899,32,4
EGM2_regular_6dyn-81,6dyne,rep 3,area_degree_spearman,0.769932690506,0.762202847409,0.77722399531,32,4
EGM2_regular_6dyn-81,6dyne,rep 3,all_reticular_3clique_enrichment_z,2.60207203637,2.56800568203,2.6408642655,32,4
EGM2_regular_6dyn-82,6dyne,rep 3,reticular_fraction,0.177723463096,0.175392670157,0.178477690289,32,4
EGM2_regular_6dyn-82,6dyne,rep 3,area_degree_spearman,0.776920462017,0.77108307363,0.784712026246,32,4
EGM2_regular_6dyn-82,6dyne,rep 3,all_reticular_3clique_enrichment_z,-0.358538908453,-0.419518212415,-0.319117824697,32,4
EGM2_regular_6dyn-83,6dyne,rep 3,reticular_fraction,0.131805998585,0.130193905817,0.132596685083,32,4
EGM2_regular_6dyn-83,6dyne,rep 3,area_degree_spearman,0.78255073983,0.769889245597,0.788828404081,32,4
EGM2_regular_6dyn-83,6dyne,rep 3,all_reticular_3clique_enrichment_z,1.78431535005,1.6987232597,1.91236916505,32,4
EGM2_regular_6dyn-84,6dyne,rep 3,reticular_fraction,0.194971579984,0.194945848375,0.194945848375,32,4
EGM2_regular_6dyn-84,6dyne,rep 3,area_degree_spearman,0.874387583806,0.873988309775,0.875980048058,32,4
EGM2_regular_6dyn-84,6dyne,rep 3,all_reticular_3clique_enrichment_z,-1.18729527898,-1.20852930022,-1.17622854095,32,4
EGM2_regular_6dyn-85,6dyne,rep 3,reticular_fraction,0.224830972726,0.224422442244,0.227424749164,32,4
EGM2_regular_6dyn-85,6dyne,rep 3,area_degree_spearman,0.764723105624,0.761331654851,0.786994025728,32,4
EGM2_regular_6dyn-85,6dyne,rep 3,all_reticular_3clique_enrichment_z,-0.0695570630352,-0.119636860885,-0.0347351674579,32,4
EGM2_regular_6dyn-86,6dyne,rep 3,reticular_fraction,0.211084758886,0.204678362573,0.217261904762,32,4
EGM2_regular_6dyn-86,6dyne,rep 3,area_degree_spearman,0.709803015544,0.706146143075,0.715644155307,32,4
EGM2_regular_6dyn-86,6dyne,rep 3,all_reticular_3clique_enrichment_z,0.671865535622,0.49807139064,0.897668120346,32,4
