statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
all_reticular_3clique_enrichment_z,0.9401896991151392,0.0262772726480328,0.9177808132075744,0.98823032145281,0.9177808132075744,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0018141422099604,4.8688028324466496e-05,0.00176,0.0018699551569506,0.0018699551569506,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9284927537969372,0.0002505723589684,0.9282511210762332,0.9288888888888888,0.9282511210762332,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cells,142.09358326997514,0.9772831936052272,141.0,143.0,141.0,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,375.04573223175015,1.9991300118030135,373.0,378.0,373.0,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
mean_degree,5.008744924799328,0.0121907344086882,4.993006993006993,5.0212765957446805,5.0212765957446805,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1102507836326497,0.0002781641150107,0.1097852028639618,0.110576923076923,0.1103117505995203,32,4.0,EGM2_regular_18-20dyn-54,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0,0.0,0.0,0.0,0.0,32,4.0,EGM2_regular_18-20dyn-54,high_shear,rep 2,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7851992220609398,0.0024889665060824,0.7793653462077264,0.7858931368336033,0.7857683025070619,32,4.0,EGM2_regular_18-20dyn-54,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.6239638704305873,0.010921506845155,-0.6368552633751504,-0.6139499599700381,-0.6368552633751504,32,4.0,EGM2_regular_18-20dyn-54,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0014706585200854,3.998108711060508e-05,0.001388,0.0015,0.0015,32,4.0,EGM2_regular_18-20dyn-54,high_shear,rep 2,junction_channel,neural:best.pt,32,1
