cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
47,321,793,0,277,242,11.884392539372751,,464.28515625,776.28515625,1,11.884392539372751,12,1046.0501661426404,1513.0693744723003,0.6428571428571429,1.0,1,0.0,4.5,0.2939723678960656,994.5628266735256,1006.5431038714504,874.8116629984961,0.6428571428571429,1046.0501661426404,1513.0693744723003,7.639966632453912,1,0.0841439725831186,4.5,thick,thick,0.6428571428571429,True,874.8116629984961
280,617,794,0,264,278,38.553637810383115,,473.75,84.75,1,38.553637810383115,39,729.0578583351905,1192.9031626693843,0.21978021978021978,0.2564102564102564,5,0.17948717948717952,1.875,0.5120763831912405,688.1346297214103,693.5385035039741,874.8116629984961,0.21978021978021978,729.0578583351905,1192.9031626693843,8.473326991292993,5,0.12968944784384054,1.875,discontinuous,discontinuous,0.21978021978021978,True,874.8116629984961
484,617,795,0,261,278,34.487835360912975,,473.75,110.25,1,34.487835360912975,34,754.283402923713,1353.7527015947026,0.3025210084033613,0.9117647058823529,2,0.05882352941176472,2.25,0.40061680838488767,728.3961870231617,688.1674256028202,874.8116629984961,0.3025210084033613,754.283402923713,1353.7527015947026,10.433294731032495,2,0.05799146217992892,2.25,punctate,punctate,0.3025210084033613,True,874.8116629984961
113,334,796,0,279,270,24.579181308394066,,474.35546875,942.35546875,1,24.579181308394066,25,1018.2718482850461,1723.5234280439645,0.76,1.0,1,0.0,5.32,0.25341803829101833,995.7329058410801,970.8018989932439,874.8116629984961,0.76,1018.2718482850461,1723.5234280439645,18.68017779437949,1,0.04068483760516827,5.32,thick,thick,0.76,True,874.8116629984961
113,569,797,0,279,246,31.011737531106593,,469.71484375,954.71484375,1,31.011737531106593,31,847.7119725899678,1299.2999422287241,0.45161290322580644,0.8709677419354839,2,0.032258064516129004,3.2666666666666666,0.4803511141199926,765.9209641958513,860.4161002425959,874.8116629984961,0.45161290322580644,847.7119725899678,1299.2999422287241,14.005300820499752,2,0.06449171053359659,3.2666666666666666,thick,thick,0.45161290322580644,True,874.8116629984961
484,527,798,0,261,249,17.407875004351794,,474.35546875,144.35546875,1,17.407875004351794,17,602.2591819279677,924.3329614883984,0.008403361344537815,0.058823529411764705,1,0.9411764705882353,1.0,,613.7967310475534,586.3370363816272,874.8116629984961,0.008403361344537815,602.2591819279677,924.3329614883984,0.14628466390211592,1,0.05744526541866885,1.0,minimal,minimal,0.008403361344537815,False,874.8116629984961
298,529,799,0,257,255,8.584383574728836,,470.13671875,311.86328125,1,8.584383574728836,9,725.7948123876382,1197.2580390747323,0.20634920634920634,1.0,1,0.0,1.4444444444444444,0.4741856925360752,681.9024769176019,680.020643139871,874.8116629984961,0.20634920634920634,725.7948123876382,1197.2580390747323,1.7713807376424582,1,0.1164906007862758,1.4444444444444444,punctate,punctate,0.20634920634920634,True,874.8116629984961
448,529,800,0,268,255,24.40259991506374,,476.28125,238.28125,1,24.40259991506374,24,797.2140643324622,1271.7136088064785,0.25,0.4583333333333333,3,0.25,2.3333333333333335,0.49487165930539356,731.946530062317,805.7266376178706,874.8116629984961,0.25,797.2140643324622,1271.7136088064785,6.100649978765935,3,0.12293772017907396,2.3333333333333335,discontinuous,discontinuous,0.25,True,874.8116629984961
189,438,801,0,274,267,33.966624911133884,,483.13671875,516.13671875,1,33.966624911133884,34,835.1796889915622,1667.4391737652825,0.4117647058823529,1.0,1,0.0,2.8823529411764706,0.45129274260195884,803.6833103931115,752.1803692036991,874.8116629984961,0.4117647058823529,835.1796889915622,1667.4391737652825,13.986257316349246,1,0.02944066425840888,2.8823529411764706,thick,thick,0.4117647058823529,True,874.8116629984961
113,194,802,0,279,244,34.2266254586692,,472.82421875,985.16796875,1,34.2266254586692,34,706.1741719542073,1298.8420445104298,0.16806722689075632,0.2647058823529412,3,0.38235294117647056,1.9047619047619047,0.4834769901453429,680.100384414815,663.7036259901139,874.8116629984961,0.16806722689075632,706.1741719542073,1298.8420445104298,5.752374026667092,3,0.08765105995105152,1.9047619047619047,discontinuous,discontinuous,0.16806722689075632,True,874.8116629984961
