tile,n_ref_vertices,n_pred_vertices,n_matched,n_missed,n_spurious,weighted_frac,set
data/tiles/gt_haec_train/field_00079_r0000_c0400.npz,0,24,0,0,24,0.0142478942871093,haec
data/tiles/gt_haec_train/field_00080_r0000_c0000.npz,28,33,13,15,20,0.0229606628417968,haec
data/tiles/gt_haec_train/field_00080_r0688_c0688.npz,46,53,22,24,31,0.0362892150878906,haec
data/tiles/gt_haec_train/field_00081_r0688_c0400.npz,16,29,7,9,22,0.020111083984375,haec
data/tiles/gt_haec_train/field_00082_r0688_c0000.npz,25,26,6,19,20,0.0244255065917968,haec
data/tiles/gt_haec_train/field_00083_r0400_c0688.npz,26,32,9,17,23,0.0261726379394531,haec
data/tiles/gt_haec_train/field_00084_r0400_c0400.npz,28,18,10,18,8,0.0174484252929687,haec
data/tiles/gt_haec_train/field_00085_r0400_c0000.npz,9,6,1,8,5,0.0095100402832031,haec
data/tiles/gt_haec_train/field_00086_r0000_c0688.npz,35,47,12,23,35,0.0364952087402343,haec
data/tiles/gt_haec_train/field_00087_r0000_c0400.npz,7,11,5,2,6,0.0059776306152343,haec
data/tiles/gt_haec_train/field_00088_r0000_c0000.npz,13,17,3,10,14,0.0142288208007812,haec
data/tiles/gt_haec_train/field_00088_r0688_c0688.npz,25,19,10,15,9,0.0171890258789062,haec
data/tiles/gt_haec_train/field_00089_r0688_c0400.npz,39,51,17,22,34,0.0371780395507812,haec
data/tiles/gt_haec_train/field_00090_r0688_c0000.npz,52,49,27,25,22,0.0308876037597656,haec
data/tiles/gt_haec_train/field_00091_r0400_c0688.npz,37,47,12,25,35,0.0399971008300781,haec
data/tiles/gt_haec_train/field_00092_r0400_c0400.npz,34,29,11,23,18,0.0277061462402343,haec
data/tiles/gt_haec_train/field_00093_r0400_c0000.npz,34,33,10,24,23,0.0316085815429687,haec
data/tiles/gt_haec_train/field_00094_r0000_c0688.npz,25,23,9,16,14,0.0206260681152343,haec
data/tiles/gt_haec_train/field_00095_r0000_c0400.npz,18,17,5,13,12,0.0173606872558593,haec
data/tiles/gt_haec_train/field_00096_r0000_c0000.npz,12,20,7,5,13,0.0127677917480468,haec
data/tiles/gt_haec_train/field_00096_r0688_c0688.npz,15,15,5,10,10,0.0142364501953125,haec
data/tiles/gt_haec_train/field_00097_r0688_c0400.npz,12,10,5,7,5,0.0071907043457031,haec
data/tiles/gt_haec_train/field_00098_r0688_c0000.npz,16,34,5,11,29,0.0264091491699218,haec
data/tiles/gt_haec_train/field_00099_r0400_c0688.npz,32,39,20,12,19,0.0189285278320312,haec
data/tiles/gt_haec_train/field_00100_r0400_c0400.npz,29,26,11,18,15,0.0229110717773437,haec
data/tiles/gt_haec_train/field_00101_r0400_c0000.npz,32,39,11,21,28,0.0333328247070312,haec
data/tiles/gt_haec_train/field_00102_r0000_c0688.npz,16,23,4,12,19,0.0214347839355468,haec
data/tiles/gt_haec_train/field_00103_r0000_c0400.npz,26,27,8,18,19,0.0249214172363281,haec
data/tiles/gt_haec_train/field_00104_r0000_c0000.npz,28,35,12,16,23,0.0261459350585937,haec
data/tiles/gt_haec_train/field_00104_r0688_c0688.npz,18,17,6,12,11,0.0151710510253906,haec
data/tiles/gt_haec_train/field_00105_r0688_c0400.npz,19,21,6,13,15,0.0177955627441406,haec
data/tiles/gt_haec_train/field_00106_r0688_c0000.npz,9,9,2,7,7,0.0093612670898437,haec
data/tiles/gt_haec_train/field_00107_r0400_c0688.npz,18,20,10,8,10,0.0104866027832031,haec
data/tiles/gt_haec_train/field_00108_r0400_c0400.npz,23,22,8,15,14,0.0184135437011718,haec
data/tiles/gt_haec_train/field_00109_r0400_c0000.npz,22,25,12,10,13,0.0161895751953125,haec
data/tiles/gt_haec_train/field_00110_r0000_c0688.npz,16,22,9,7,13,0.014373779296875,haec
data/tiles/gt_haec_train/field_00111_r0000_c0400.npz,17,23,7,10,16,0.0183868408203125,haec
data/tiles/gt_haec_train/field_00112_r0000_c0000.npz,35,49,18,17,31,0.0322685241699218,haec
data/tiles/gt_haec_train/field_00112_r0688_c0688.npz,19,24,8,11,16,0.0179634094238281,haec
data/tiles/gt_haec_train/field_00113_r0688_c0400.npz,16,26,8,8,18,0.0183029174804687,haec
data/tiles/gt_haec_train/field_00114_r0688_c0000.npz,31,47,7,24,40,0.0412330627441406,haec
data/tiles/gt_haec_train/field_00115_r0400_c0688.npz,30,36,12,18,24,0.0282554626464843,haec
data/tiles/gt_haec_train/field_00116_r0400_c0400.npz,34,36,14,20,22,0.0262184143066406,haec
data/tiles/gt_haec_train/field_00117_r0400_c0000.npz,35,46,16,19,30,0.0337791442871093,haec
data/tiles/gt_haec_train/field_00118_r0000_c0688.npz,39,35,9,30,26,0.0329132080078125,haec
data/tiles/gt_haec_train/field_00119_r0000_c0400.npz,31,34,13,18,21,0.0255508422851562,haec
data/tiles/gt_haec_train/field_00120_r0000_c0000.npz,33,36,14,19,22,0.0247573852539062,haec
data/tiles/gt_haec_train/field_00120_r0688_c0688.npz,37,41,16,21,25,0.0305061340332031,haec
data/tiles/gt_haec_train/field_00121_r0688_c0400.npz,17,25,9,8,16,0.0150718688964843,haec
data/tiles/gt_haec_train/field_00122_r0688_c0000.npz,33,45,14,19,31,0.0330123901367187,haec
data/tiles/gt_haec_train/field_00123_r0400_c0688.npz,16,20,2,14,18,0.0217552185058593,haec
data/tiles/gt_haec_train/field_00124_r0400_c0400.npz,10,7,2,8,5,0.0082473754882812,haec
data/tiles/gt_haec_train/field_00125_r0400_c0000.npz,0,1,0,0,1,0.0006790161132812,haec
data/tiles/gt_haec_train/field_00126_r0000_c0688.npz,3,5,0,3,5,0.0057334899902343,haec
data/tiles/gt_haec_train/field_00127_r0000_c0400.npz,4,7,3,1,4,0.0034141540527343,haec
data/tiles/gt_haec_train/field_00128_r0000_c0000.npz,3,4,2,1,2,0.0022544860839843,haec
data/tiles/gt_haec_train/field_00128_r0688_c0688.npz,4,2,0,4,2,0.0039024353027343,haec
data/tiles/gt_haec_train/field_00129_r0688_c0400.npz,2,0,0,2,0,0.0015029907226562,haec
data/tiles/gt_haec_train/field_00130_r0688_c0000.npz,3,1,0,3,1,0.0030059814453125,haec
data/tiles/gt_haec_train/field_00131_r0400_c0688.npz,0,0,0,0,0,0.0,haec
data/tiles/gt_haec_train/field_00132_r0400_c0400.npz,18,12,4,14,8,0.0135841369628906,haec
data/tiles/gt_haec_train/field_00133_r0400_c0000.npz,7,10,3,4,7,0.00775146484375,haec
data/tiles/gt_haec_train/field_00134_r0000_c0688.npz,4,1,1,3,0,0.0020599365234375,haec
data/tiles/gt_haec_train/field_00135_r0000_c0400.npz,27,24,10,17,14,0.0209922790527343,haec
data/tiles/gt_haec_train/field_00136_r0000_c0000.npz,1,2,0,1,2,0.00201416015625,haec
data/tiles/gt_haec_train/field_00136_r0688_c0688.npz,15,11,2,13,9,0.0154762268066406,haec
data/tiles/gt_haec_train/field_00137_r0688_c0400.npz,12,8,2,10,6,0.0107574462890625,haec
