face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
251,407,4417.806121826172,4416,387.402279443397,11,11,11,0,0,False,423.0450504512115,524.6351746265775,,
252,514,1326.7640838623047,1326,160.20762024323994,5,5,5,0,0,False,384.51296927353053,482.6374123770692,,
253,530,1054.7392883300781,1053,149.23196642585157,8,8,8,0,0,False,383.0528365690749,303.56586353730813,,
254,291,1173.7153015136719,1175,146.26243689724907,4,4,4,0,0,False,390.02797389352924,517.0633735256674,,
255,303,3076.8792266845703,3075,339.01161034180245,12,12,12,0,0,False,418.0564260694079,251.51936465376073,,
256,534,686.0968933105469,686,112.7469932886679,5,5,5,0,0,False,384.1658233782278,590.2415030734999,,
257,205,924.6238861083984,926,132.58196096741477,5,5,5,0,0,False,388.55763420743864,998.1939406943993,,
258,654,992.4911651611328,992,128.8470237766826,6,6,6,0,0,False,397.1191094187029,615.7787909912032,,
259,43,1603.0098114013672,1604,172.157343306731,4,4,4,0,0,False,410.93237439657685,54.62026508643258,,
260,397,2783.3248596191406,2782,269.0199101296578,7,7,7,0,0,False,401.87982838025556,343.53462785509277,,
261,541,1037.8583679199219,1038,144.4414291633907,6,6,6,0,0,False,401.6859799315719,794.946640475648,,
262,653,3407.0848541259766,3408,340.66974545021594,8,8,8,0,0,False,445.8389023902353,960.7950838700247,,
263,396,2108.0391235351562,2109,219.85671722012611,6,6,6,0,0,False,426.9955876843463,667.5795126337889,,
264,192,207.5690460205078,208,58.080895520372124,4,3,3,0,0,True,395.06248141662,1017.2650639949176,,
265,440,3256.918960571289,3253,286.31813547259077,12,11,10,1,0,False,424.4514056383044,868.4441326763811,,
266,584,942.0687561035156,942,122.94094341114524,5,5,5,0,0,False,407.69146695684384,582.5311825655357,,
267,372,1657.9913940429688,1659,183.62326729145957,7,7,7,0,0,False,419.82514287462817,160.39004581561667,,
268,391,938.5653381347656,941,119.35598876103481,3,3,3,0,0,False,412.8316083882637,108.04540040643559,,
269,466,721.0142974853516,723,118.30006362077705,3,3,3,0,0,False,414.31037670150596,691.1632152586827,,
270,384,331.1499481201172,332,71.66611011199225,4,4,4,0,0,False,403.10126536835435,830.9518820450595,,
271,63,2848.2556762695312,2848,317.69860925994914,7,7,7,0,0,False,418.9680490220978,400.585887624145,,
