observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(11, 15, 4)","(2, 2, 0)","(9, 13, 4)",0,50,34,16,0,False,119,119,0,21,"[-7, 0, 1, 0, 0, 0, 0, 0, 0, -4, -4, 0, 0, 0, -1, 0, 0, -1, -6, 0, 0]",14,11,11,11,11,57
"(-3, -3, 0)","(-3, -3, 0)","(0, 0, 0)",0,29,23,6,0,False,119,124,5,18,"[0, 0, -1, -1, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 4, 2]",8,8,6,6,6,58
"(-3, -5, -2)","(3, 2, -1)","(-6, -7, -1)",0,54,37,17,0,False,124,126,2,23,"[-5, -5, -5, -5, 0, 0, 1, 1, 0, -1, 0, 0, -2, 0, 0, 0, -1, -2, -1, 2, -3, 1, 0]",9,8,8,8,8,59
"(8, 12, 4)","(-3, -3, 0)","(11, 15, 4)",0,60,32,28,0,False,126,124,-2,21,"[0, 0, -1, 1, 2, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, 3]",13,11,11,11,11,60
"(-4, -6, -2)","(-1, -1, 0)","(-3, -5, -2)",0,40,26,14,0,False,124,120,-4,19,"[3, 3, 0, -1, 0, 1, 0, -1, 0, -1, 5, 1, 0, 0, 0, 5, 0, 0, 0]",10,10,10,10,10,61
"(3, 4, 1)","(1, 1, 0)","(2, 3, 1)",0,37,28,9,0,False,120,122,2,23,"[-5, -5, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, -3, 0, 0, -3, 0, 0, 0, 0, -3, -2, -3]",13,12,12,12,12,62
"(-6, -9, -3)","(3, 3, 0)","(-9, -12, -3)",0,41,24,17,0,False,122,121,-1,15,"[0, 0, 1, 0, 0, 0, 0, 2, -1, 2, 0, 0, 0, 0, 1]",10,6,5,5,5,63
"(4, 6, 2)","(-1, -1, 0)","(5, 7, 2)",0,30,20,10,0,False,121,121,0,15,"[-1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",10,9,9,9,9,64
"(-7, -10, -3)","(0, 0, 0)","(-7, -10, -3)",0,41,22,19,0,False,121,124,3,16,"[-2, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1]",11,9,7,7,7,65
"(7, 12, 5)","(-7, -7, 0)","(14, 19, 5)",0,39,24,15,0,False,124,129,5,13,"[0, -2, 0, -1, 0, 1, 0, 0, 2, 0, -1, 0, 0]",8,8,7,7,7,66
"(19, 27, 8)","(3, 3, 0)","(16, 24, 8)",0,34,22,12,0,False,129,132,3,13,"[-10, -11, 0, 0, 1, 0, -1, 0, -8, 0, 0, 0, -9]",7,7,7,7,7,67
"(-14, -21, -7)","(1, 1, 0)","(-15, -22, -7)",0,35,24,11,0,False,132,125,-7,17,"[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 8, 8]",12,11,11,11,11,68
"(-5, -8, -3)","(2, 2, 0)","(-7, -10, -3)",0,35,28,7,0,False,125,125,0,24,"[-2, -3, 1, 0, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, 0, 0, 1, 0, 0, -1, -1, 1, 0, -1]",13,9,9,9,9,69
